接口ID,模块,请求,响应,错误码,版本,调用方,状态,证据路径,备注
API-MAIN-WS-001,主应用推流,WebSocket /ws,JSON{image,result},WS-DISCONNECT|WS-RUNTIME,v1,主监控页,已验证,web/app.py|web/common.py|tests/test_web_routes_contract.py,主应用实时流
API-MAIN-HTTP-001,主应用状态,GET /api/status,JSON{is_running,dev_mode,latest_result},HTTP-500,v1,监控与调试,已验证,web/app.py|tests/test_web_routes_contract.py,状态总览
API-MAIN-HTTP-002,主应用相机调试,GET /api/camera/debug,JSON{camera_type,source_dir,files_count,...},HTTP-500,v1,调试工具,已验证,web/app.py|tests/test_web_routes_contract.py,调试接口
API-DEVICE-WS-001,设备级推流,WebSocket /ws,JSON{image,result,statistics,detection_count,...},WS-DISCONNECT|WS-RUNTIME,v1,设备监控页,已验证,web/device_app.py|web/common.py|tests/test_web_routes_contract.py,设备实时流
API-DEVICE-HTTP-001,设备统计,GET /api/device/statistics,JSON设备统计对象,HTTP-500,v1,设备监控页,已验证,web/device_app.py|tests/test_web_routes_contract.py,设备统计
API-DEVICE-HTTP-002,设备历史,GET /api/device/history,JSON{device_id,total_records,history},HTTP-500,v1,设备监控页,已验证,web/device_app.py|tests/test_web_routes_contract.py,最近50条
API-DEVICE-HTTP-003,设备状态,GET /api/device/status,JSON{device_id,is_running,total_grids,...},HTTP-500,v1,设备监控页,已验证,web/device_app.py|tests/test_web_routes_contract.py,运行态状态
API-DEVICE-HTTP-004,重置设备统计,POST /api/device/reset_stats,JSON{success|error,message?},HTTP-500,v1,设备监控页,已验证,web/device_app.py|tests/test_web_routes_contract.py,重置计数
API-DEVICE-HTTP-005,设备格栅详情,GET /api/device/grid_details,JSON{total_grids,visible_grids,grid_states}|JSON{error},HTTP-500,v1,设备监控页,已验证,web/device_app.py|tests/test_web_routes_contract.py,明细接口
API-SINGLE-WS-001,单格栅推流,WebSocket /ws,JSON{image,result,statistics,detection_count,...},WS-DISCONNECT|WS-RUNTIME,v1,单格栅页面,已验证,web/single_grid_app.py|web/common.py|tests/test_web_routes_contract.py,单格栅实时流
API-SINGLE-HTTP-001,单格栅统计,GET /api/statistics,JSON统计对象|JSON{error},HTTP-500,v1,单格栅页面,已验证,web/single_grid_app.py|tests/test_web_routes_contract.py,统计接口
API-SINGLE-HTTP-002,单格栅历史,GET /api/history,JSON{total_records,history},HTTP-500,v1,单格栅页面,已验证,web/single_grid_app.py|tests/test_web_routes_contract.py,最近50条
API-SINGLE-HTTP-003,切换格栅,GET /api/grid/switch/{grid_id},JSON{success,grid_id,message}|JSON{error},HTTP-500,v1,单格栅页面,已验证,web/single_grid_app.py|tests/test_web_routes_contract.py,运行时切换
API-SINGLE-HTTP-004,保存检测日志,POST /api/save_logs,JSON{success,message}|JSON{error},HTTP-500,v1,单格栅页面,已验证,web/single_grid_app.py|tests/test_web_routes_contract.py,日志落盘
API-SINGLE-HTTP-005,单格栅状态,GET /api/status,JSON{is_running,target_grid_id,total_grids,...},HTTP-500,v1,单格栅页面,已验证,web/single_grid_app.py|tests/test_web_routes_contract.py,运行态状态
